file	study	subgroup	hormone	n	lambda	SNPs	SNPs_gw	SNPs_sug	SNPs_nom
LIFEHeart_men.E2_sens.glm.linear	LIFE-Heart	men	E2_sens	727	0.997656638456727	8781804	0	16	427861
LIFEHeart_men.E2.glm.linear	LIFE-Heart	men	E2	1219	0.986062774338676	8817879	0	5	438191
LIFEHeart_men.OHP17.glm.linear	LIFE-Heart	men	OHP17	1219	0.994490105977041	8817879	0	22	449330
LIFEHeart_men.PROG.glm.linear	LIFE-Heart	men	PROG	1219	0.993499749562159	8817879	47	57	441556
LIFEHeart_men.TESTO_sens.glm.linear	LIFE-Heart	men	TESTO_sens	1218	1.0063652708868	8817104	30	163	427053
LIFEHeart_men.TESTO.glm.linear	LIFE-Heart	men	TESTO	1219	1.0043019386929	8817879	31	156	428200
LIFEHeart_postmenopausal.ALDO_sens.glm.linear	LIFE-Heart	postmenopausal	ALDO_sens	299	1.00916783031424	8737416	0	4	430358
LIFEHeart_postmenopausal.ALDO.glm.linear	LIFE-Heart	postmenopausal	ALDO	475	0.997452289681215	8737980	1	9	433694
LIFEHeart_postmenopausal.ANDRO.glm.linear	LIFE-Heart	postmenopausal	ANDRO	475	0.992858498406669	8737980	0	10	433006
LIFEHeart_postmenopausal.CORT.glm.linear	LIFE-Heart	postmenopausal	CORT	475	0.971034490536693	8737980	54	287	434023
LIFEHeart_postmenopausal.DHEAS.glm.linear	LIFE-Heart	postmenopausal	DHEAS	475	0.986918327958303	8737980	77	260	432369
LIFEHeart_postmenopausal.E2_sens.glm.linear	LIFE-Heart	postmenopausal	E2_sens	39	1.02070011462448	7943718	0	0	406585
LIFEHeart_postmenopausal.E2.glm.linear	LIFE-Heart	postmenopausal	E2	475	1.02458928354806	8737980	153	482	418773
LIFEHeart_postmenopausal.OHP17.glm.linear	LIFE-Heart	postmenopausal	OHP17	475	1.00549092065282	8737980	0	7	436730
LIFEHeart_postmenopausal.PROG.glm.linear	LIFE-Heart	postmenopausal	PROG	475	0.963055049680744	8737980	7	38	459388
LIFEHeart_postmenopausal.TESTO_sens.glm.linear	LIFE-Heart	postmenopausal	TESTO_sens	475	0.996916343807002	8737980	0	10	438828
LIFEHeart_postmenopausal.TESTO.glm.linear	LIFE-Heart	postmenopausal	TESTO	475	0.996916343807002	8737980	0	10	438828
LIFEHeart_premenopausal.ALDO_sens.glm.linear	LIFE-Heart	premenopausal	ALDO_sens	90	1.01368122732787	8458470	0	2	419647
LIFEHeart_premenopausal.ALDO.glm.linear	LIFE-Heart	premenopausal	ALDO	143	1.0086302347249	8617472	0	0	437052
LIFEHeart_premenopausal.ANDRO.glm.linear	LIFE-Heart	premenopausal	ANDRO	143	1.02536980632433	8617472	0	0	430129
LIFEHeart_premenopausal.CORT.glm.linear	LIFE-Heart	premenopausal	CORT	143	1.0130036504021	8617472	0	0	426571
LIFEHeart_premenopausal.DHEAS.glm.linear	LIFE-Heart	premenopausal	DHEAS	143	1.01493250393724	8617472	0	7	436111
LIFEHeart_premenopausal.E2_sens.glm.linear	LIFE-Heart	premenopausal	E2_sens	47	1.05020867080459	8148702	0	0	404472
LIFEHeart_premenopausal.E2.glm.linear	LIFE-Heart	premenopausal	E2	143	1.00483094880458	8617472	0	7	419326
LIFEHeart_premenopausal.OHP17.glm.linear	LIFE-Heart	premenopausal	OHP17	143	1.00514604346993	8617472	0	2	438096
LIFEHeart_premenopausal.PROG.glm.linear	LIFE-Heart	premenopausal	PROG	143	1.00370177010203	8617472	115	329	426899
LIFEHeart_premenopausal.TESTO_sens.glm.linear	LIFE-Heart	premenopausal	TESTO_sens	143	1.0185263679343	8617472	0	2	429127
LIFEHeart_premenopausal.TESTO.glm.linear	LIFE-Heart	premenopausal	TESTO	143	1.0185263679343	8617472	0	2	429127
