hormone	n_men	mean_men	sd_men	n_postmenopausal	mean_postmenopausal	sd_postmenopausal	n_premenopausal	mean_premenopausal	sd_premenopausal
AGE	2915	58.329	13.058	1898	65.576	7.254	459	42.521	6.041
ALDO_LCMS	868	153.843	93.846	546	167.569	105.9			
ANDRO_LCMS	868	2.858	1.273	546	2.2	1.035			
BMI	2915	27.651	4.196	1898	28.038	5.085	459	25.258	5.258
CORT_S	2900	496.529	147.42	1801	468.891	152.859	442	437.149	148.647
DHEAS_S	2900	5.285	3.188	1794	2.859	1.777	441	4.986	2.381
E2_S	2911	88.72	38.932	1805	37.837	80.057	445	507.453	488.712
FSH_S	2913	7.851	8.188	1809	71.535	25.826	446	9.919	11.581
LH_S	2914	5.356	3.736	1811	31.802	11.522	446	9.73	10.635
OHP17_LCMS	868	2.61	1.298	546	0.922	0.622			
PROG_LCMS	868	0.352	0.18	962	0.249	0.169	74	13.902	17.376
SHBG_S	2893	43.568	19.388	1793	61.063	28.934	442	74.06	39.064
TESTO_S	2890	15.935	6.012	1790	0.698	0.478	442	0.943	0.493
